File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
ACT_023.wav,Acts,23,35,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_023.wav,Acts,23,35,FAIL,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
ACT_023.wav,Acts,23,35,FAIL,Tail Silence,FAIL,2.55s,Expected 2.0s +/- 0.5s; measured 2.55s
ACT_023.wav,Acts,23,35,FAIL,Chapter Title,PASS,1,Present.
ACT_023.wav,Acts,23,35,FAIL,Verses,PASS,35/35,"All 35 verses present (Verse 1..35), no missing/extra/duplicates."
ACT_024.wav,Acts,24,27,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_024.wav,Acts,24,27,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_024.wav,Acts,24,27,FAIL,Head Silence,PASS,2.04s,Expected 2.0s +/- 0.5s; measured 2.04s
ACT_024.wav,Acts,24,27,FAIL,Tail Silence,FAIL,2.52s,Expected 2.0s +/- 0.5s; measured 2.52s
ACT_024.wav,Acts,24,27,FAIL,Chapter Title,PASS,1,Present.
